"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 14:51:39 GMT 2024","Sun Nov 17 14:51:40 GMT 2024","899","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Sun Nov 17 14:52:03 GMT 2024","Sun Nov 17 14:52:03 GMT 2024","15","Spies, Stubs, and Clock","","","","","cy.stub() matches depending on arguments",""
"passed","Sun Nov 17 14:51:26 GMT 2024","Sun Nov 17 14:51:26 GMT 2024","93","Cypress APIs","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Sun Nov 17 14:51:49 GMT 2024","Sun Nov 17 14:51:49 GMT 2024","222","Network Requests","","","","","cy.request() - verify response using BDD syntax",""
"passed","Sun Nov 17 14:51:10 GMT 2024","Sun Nov 17 14:51:10 GMT 2024","101","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Sun Nov 17 14:51:10 GMT 2024","Sun Nov 17 14:51:11 GMT 2024","97","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Sun Nov 17 14:52:02 GMT 2024","Sun Nov 17 14:52:02 GMT 2024","97","Spies, Stubs, and Clock","","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Sun Nov 17 14:51:26 GMT 2024","Sun Nov 17 14:51:26 GMT 2024","110","Cypress APIs","Cypress.config()","","","","Get and set configuration options",""
"passed","Sun Nov 17 14:52:33 GMT 2024","Sun Nov 17 14:52:33 GMT 2024","218","Waiting","","","","","cy.wait() - wait for a specific route",""
"passed","Sun Nov 17 14:52:14 GMT 2024","Sun Nov 17 14:52:14 GMT 2024","140","Traversal","","","","",".siblings() - get all sibling DOM elements",""
"passed","Sun Nov 17 14:51:40 GMT 2024","Sun Nov 17 14:51:40 GMT 2024","90","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Sun Nov 17 14:51:39 GMT 2024","Sun Nov 17 14:51:39 GMT 2024","93","Misc","","","","","cy.wrap() - wrap an object",""
"passed","Sun Nov 17 14:51:16 GMT 2024","Sun Nov 17 14:51:16 GMT 2024","98","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Sun Nov 17 14:52:18 GMT 2024","Sun Nov 17 14:52:18 GMT 2024","86","Utilities","","","","","Cypress.minimatch - test out glob patterns against strings",""
